상가업소번호,상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시군구코드,시군구명,행정동코드,행정동명,경도,위도
MA010120220800283163,에어컨가드,수리·개인,가전제품 수리,가전제품 수리업,11170,용산구,11170560,원효로1동,126.9672880584,37.5406295927421
MA010120220805019150,모바일가이드,소매,가전·통신 소매,핸드폰 소매업,11170,용산구,11170560,원효로1동,126.967979431184,37.537935791993
MA010120220814135273,소아제일약국,소매,의약·화장품 소매,약국,11170,용산구,11170555,청파동,126.968493078038,37.5541629229991
MA010120220804896797,크로,과학·기술,광고,광고 대행업,11170,용산구,11170685,한남동,126.997929491053,37.5350749333131
MA010120220800270395,에벤에셀,소매,섬유·의복·신발 소매,가방 소매업,11170,용산구,11170650,이태원1동,126.993743237978,37.534813495493
MA010120220803571699,하나임,교육,기타 교육,기타 기술/직업 훈련학원,11170,용산구,11170590,용문동,126.957399471798,37.5392118695261
MA010120220804983789,존재의집,교육,일반 교육,입시·교과학원,11170,용산구,11170520,용산2가동,126.989114344085,37.5443006902902
MA010120220800172890,란트,시설관리·임대,조경·유지,조경 유지·관리 서비스업,11170,용산구,11170625,한강로동,126.963663218528,37.5255728059979
MA010120220809899158,용문부경농산,소매,식료품 소매,채소/과일 소매업,11170,용산구,11170590,용문동,126.960060126251,37.5361043483051
MA010120220809672382,단디자인,과학·기술,전문 디자인,시각 디자인업,11170,용산구,11170685,한남동,126.997273267127,37.5349938299154
MA010120220805302376,크럼블,음식,기타 간이,그 외 기타 간이 음식점,11170,용산구,11170510,후암동,126.980874713841,37.5514896135744
MA010120220800271100,수상한집,음식,한식,백반/한정식,11170,용산구,11170640,이촌2동,126.955755074288,37.5263900200728
MA010120220813593565,재재식당,음식,일식,일식 회/초밥,11170,용산구,11170650,이태원1동,126.989545707528,37.5344978482189
MA010120220803879168,오늘도바이올린교습소,교육,기타 교육,음악학원,11170,용산구,11170570,원효로2동,126.950070999467,37.5338570557418
MA010120220800274945,꼬뜨,음식,서양식,경양식,11170,용산구,11170660,이태원2동,126.994761126081,37.5404087573501
MA010120220800267710,대림공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,11170,용산구,11170660,이태원2동,126.990970651901,37.5398138683635
MA010120220805086131,리오피부,수리·개인,이용·미용,피부 관리실,11170,용산구,11170630,이촌1동,126.974423632614,37.5199443600314
MA010120220805517097,벤치마크아시아,과학·기술,본사·경영 컨설팅,경영 컨설팅업,11170,용산구,11170685,한남동,127.006019108431,37.5341287471968
MA010120220803698729,핑루,소매,오락용품 소매,문구/회화용품 소매업,11170,용산구,11170650,이태원1동,126.994535353476,37.5331647031073
MA010120220800367077,도련투어,시설관리·임대,여행사·보조,여행사,11170,용산구,11170625,한강로동,126.977688727079,37.5335952024558
MA010120220803857445,에프에프에프,시설관리·임대,기타 사업 서비스,전시/컨벤션/행사 대행 서비스업,11170,용산구,11170685,한남동,127.00028286516,37.5373905226276
MA010120220800303488,엘파소,소매,섬유·의복·신발 소매,신발 소매업,11170,용산구,11170650,이태원1동,126.990054934875,37.5338221415263
MA010120220802779365,킵햅,음식,비알코올 ,카페,11170,용산구,11170555,청파동,126.968577321189,37.5421976824223
MA010120220800282130,114공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,11170,용산구,11170660,이태원2동,126.987576151227,37.5398676200273
MA010120220806760728,까를로스,음식,주점,요리 주점,11170,용산구,11170650,이태원1동,126.989364671865,37.534560902113
MA010120220809233366,룸삼,수리·개인,이용·미용,미용실,11170,용산구,11170650,이태원1동,126.994886045877,37.5337593794791
MA010120220813863847,우성부동산공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,11170,용산구,11170555,청파동,126.966399876412,37.5531171883511
MA010120220800264272,까치네분식,음식,기타 간이,김밥/만두/분식,11170,용산구,11170555,청파동,126.969673988637,37.5444684878046
MA010120220813496730,엠앤에이치푸드시스템,음식,서양식,경양식,11170,용산구,11170685,한남동,127.006019108431,37.5341287471968
MA010120220800303577,미지미용실,수리·개인,이용·미용,미용실,11170,용산구,11170660,이태원2동,126.989307698331,37.5373810289109
MA010120220812098182,오브콘텐츠,과학·기술,광고,광고 대행업,11170,용산구,11170650,이태원1동,126.99201244626,37.5321554381529
MA010120220800265810,은성설비,수리·개인,기타 가정용품 수리,의류/이불 수선업,11170,용산구,11170590,용문동,126.958417960971,37.5389419325235
MA010120220801554590,다미만두,음식,기타 간이,그 외 기타 간이 음식점,11170,용산구,11170660,이태원2동,126.989443214466,37.5392190816425
MA010120220800102528,송탄부대찌개숯불갈비,음식,한식,돼지고기 구이/찜,11170,용산구,11170530,남영동,126.974253846527,37.553164212011
MA010120220806792105,윰필라테스스튜디오,교육,기타 교육,요가/필라테스 학원,11170,용산구,11170560,원효로1동,126.96661046254,37.5376921427798
MA010120220802174651,점보,소매,섬유·의복·신발 소매,가방 소매업,11170,용산구,11170650,이태원1동,126.990360389174,37.5340203870598
MA010120220803328942,한국엠앤에이진흥협회,교육,기타 교육,직원 훈련기관,11170,용산구,11170650,이태원1동,126.99444495801,37.5315969568494
MA010120220806667331,왁싱랩,수리·개인,이용·미용,피부 관리실,11170,용산구,11170650,이태원1동,126.995734619709,37.5334170328008
MA010120220809997757,올드페리,음식,기타 간이,빵/도넛,11170,용산구,11170685,한남동,127.002998459083,37.5395979354838
MA010120220806436781,마린커피빅히트사옥점,음식,비알코올 ,카페,11170,용산구,11170625,한강로동,126.964783695862,37.5244919427107
MA010120220813123547,로샤후암점,소매,섬유·의복·신발 소매,기타 의류 소매업,11170,용산구,11170510,후암동,126.977559787916,37.5485607851279
MA010120220807878999,원랩건축사사무소,과학·기술,기술 서비스,건축 설계 및 관련 서비스업,11170,용산구,11170625,한강로동,126.955050833585,37.5311200128408
MA010120220805107886,공정입찰컨설팅,과학·기술,본사·경영 컨설팅,경영 컨설팅업,11170,용산구,11170625,한강로동,126.968163840596,37.5299980239665
MA010120220810219332,와이아트스튜디오,소매,장식품 소매,예술품 소매업,11170,용산구,11170660,이태원2동,126.988119681987,37.5372727953202
MA010120220812597544,장재근초밥,음식,일식,일식 회/초밥,11170,용산구,11170555,청파동,126.966992269183,37.5442515288113
MA010120220813132747,핫브레드,음식,기타 간이,빵/도넛,11170,용산구,11170625,한강로동,126.968220572408,37.5296106085874
MA010120220806905344,원불교용산원한의원,보건의료,의원,한의원,11170,용산구,11170625,한강로동,126.972304217472,37.5309721490589
MA010120220801137744,로또공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,11170,용산구,11170530,남영동,126.973249535792,37.5450459914539
MA010120220813377051,비비파이브,소매,오락용품 소매,운동용품 소매업,11170,용산구,11170690,서빙고동,126.99359737232,37.5205506277396
MA010120220808752691,펑션,과학·기술,광고,광고 대행업,11170,용산구,11170685,한남동,127.001685789341,37.5335252179176
MA010120220812282123,일등부동산중개,부동산,부동산 서비스,부동산 중개/대리업,11170,용산구,11170700,보광동,127.0,37.5269659390266
MA010120220814051970,앨리스몽드,수리·개인,기타 개인,예식장업,11170,용산구,11170660,이태원2동,126.99524757769,37.5419224576423
MA010120220800303406,샬롬,소매,섬유·의복·신발 소매,기타 의류 소매업,11170,용산구,11170650,이태원1동,126.990054934875,37.5338221415263
MA010120220800267498,GS25한남중앙,소매,종합 소매,편의점,11170,용산구,11170685,한남동,127.00616618894,37.5340926995725
MA010120220805036574,여행클럽,시설관리·임대,여행사·보조,여행사,11170,용산구,11170555,청파동,126.968776987605,37.5518113936704
MA010120220810301697,남이제DE,과학·기술,본사·경영 컨설팅,경영 컨설팅업,11170,용산구,11170510,후암동,126.977410914079,37.5543992252987
MA010120220800274577,INTERNATIONALSPORTSREHAB,예술·스포츠,스포츠 서비스,종합 스포츠시설,11170,용산구,11170685,한남동,126.997273267127,37.5349938299154
MA010120220800282912,용산감자탕,음식,한식,국/탕/찌개류,11170,용산구,11170625,한강로동,126.962271791712,37.5254732594689
MA010120220806432725,아이노우,과학·기술,광고,광고 대행업,11170,용산구,11170555,청파동,126.967125231784,37.5506846975312
MA010120220801015099,수비니겨,과학·기술,인쇄·제품제작,명함/간판/광고물 제작,11170,용산구,11170625,한강로동,126.969905824533,37.5307282918792
MA010120220803331542,메가엠지씨커피신용산역점,음식,비알코올 ,카페,11170,용산구,11170625,한강로동,126.969996217827,37.5310166353178
MA010120220803358944,호코퍼레이션,수리·개인,컴퓨터 수리,컴퓨터/노트북/프린터 수리업,11170,용산구,11170555,청파동,126.969550329741,37.5424682372148
MA010120220800312511,삼성환경주,시설관리·임대,청소·방제,산업설비; 운송장비 및 공공장소 청소업,11170,용산구,11170625,한강로동,126.955050833585,37.5311200128408
MA010120220800324522,인사이트파트너스,과학·기술,본사·경영 컨설팅,경영 컨설팅업,11170,용산구,11170685,한남동,127.004243174465,37.5408683072796
MA010120220804885764,세븐관광특구점,소매,종합 소매,편의점,11170,용산구,11170685,한남동,126.997273267127,37.5349938299154
MA010120220813395857,더커브랩,소매,섬유·의복·신발 소매,남성 의류 소매업,11170,용산구,11170660,이태원2동,126.990438471961,37.5427600958459
MA010120220811868017,마인드브릿지,소매,섬유·의복·신발 소매,기타 의류 소매업,11170,용산구,11170625,한강로동,126.963243494836,37.5279152812857
MA010120220805727294,케이스,과학·기술,사진 촬영,사진촬영업,11170,용산구,11170685,한남동,127.011778197629,37.5354347644047
MA010120220806823547,끌림,과학·기술,사진 촬영,사진촬영업,11170,용산구,11170660,이태원2동,126.990834900905,37.5395795978922
MA010120220804060603,디스카운트스토아주,소매,가전·통신 소매,가전제품 소매업,11170,용산구,11170625,한강로동,126.959564082485,37.5327884965563
MA010120220800399854,워크인조직혁신연구소,과학·기술,본사·경영 컨설팅,경영 컨설팅업,11170,용산구,11170650,이태원1동,126.995927060215,37.5315339471728
MA010120220800190382,레이쿠니,소매,섬유·의복·신발 소매,여성 의류 소매업,11170,용산구,11170685,한남동,127.00183295984,37.5371292186173
MA010120220803479307,박용균포토그라피,과학·기술,사진 촬영,사진촬영업,11170,용산구,11170555,청파동,126.967648802201,37.5437291308751
MA010120220800281856,박가부대,음식,한식,국/탕/찌개류,11170,용산구,11170625,한강로동,126.959564082485,37.5327884965563
MA010120220800283450,조선일보동이촌센터중앙일보신용산센터,과학·기술,광고,광고 대행업,11170,용산구,11170625,한강로동,126.961864306038,37.5259146196471
MA010120220800282261,행사장이동식간이음식점,음식,기타 간이,김밥/만두/분식,11170,용산구,11170690,서빙고동,126.989954866321,37.5207125546506
MA010120220813915152,서강소금구이,음식,한식,돼지고기 구이/찜,11170,용산구,11170570,원효로2동,126.952255321172,37.5327497278661
MA010120220811731007,진파인아트,소매,장식품 소매,예술품 소매업,11170,용산구,11170690,서빙고동,126.9924880241,37.5281910627194
MA010120220800261320,대광세무회계사무소,과학·기술,회계·세무,세무사,11170,용산구,11170530,남영동,126.975239295006,37.5505335081069
MA010120220814159097,큐아카이브,소매,장식품 소매,예술품 소매업,11170,용산구,11170625,한강로동,126.961739933485,37.5257794291038
MA010120220808710648,비어드파파,음식,주점,생맥주 전문,11170,용산구,11170530,남영동,126.971729524861,37.5548394905799
MA010120220810002153,김밥2000,음식,기타 간이,김밥/만두/분식,11170,용산구,11170555,청파동,126.970568334257,37.5434325648213
MA010120220800282301,두리마트,소매,종합 소매,슈퍼마켓,11170,용산구,11170700,보광동,126.998472707287,37.5286057525666
MA010120220800779986,명품사,수리·개인,기타 가정용품 수리,의류/이불 수선업,11170,용산구,11170690,서빙고동,126.985170513197,37.5173783389853
MA010120220808711873,아트와,소매,장식품 소매,예술품 소매업,11170,용산구,11170510,후암동,126.983364892575,37.5492555145972
MA010120220808831477,리틀동키,음식,서양식,경양식,11170,용산구,11170560,원효로1동,126.968952042246,37.5390262619613
MA010120220803648666,플롯,소매,모터사이클 소매,모터사이클 및 부품 소매업,11170,용산구,11170685,한남동,127.006629685349,37.5297768785202
MA010120220812335020,화이트매터,과학·기술,광고,광고물 설계/제작업,11170,용산구,11170650,이태원1동,126.99524802598,37.5348586156706
MA010120220800276312,옵티마찬미약국,소매,의약·화장품 소매,약국,11170,용산구,11170685,한남동,127.005656934981,37.5325159732594
MA010120220813876369,네번째집,음식,기타 간이,김밥/만두/분식,11170,용산구,11170650,이태원1동,126.993471792587,37.5337142597208
MA010120220801058107,휴먼플러스테크,시설관리·임대,고용 알선,임시/일용 인력 공급업,11170,용산구,11170555,청파동,126.968323412465,37.5539466381261
MA010120220812412569,한일,음식,한식,돼지고기 구이/찜,11170,용산구,11170700,보광동,127.00110866004,37.5258126511476
MA010120220804878588,태양,음식,중식,중국집,11170,용산구,11170625,한강로동,126.97247210728,37.5359096737076
MA010120220814330187,로리스피자LorrisPizzaFactory,음식,기타 간이,피자,11170,용산구,11170625,한강로동,126.966659672077,37.5288172968287
MA010120220809636466,은혜첼로,교육,기타 교육,기타 예술/스포츠 교육기관,11170,용산구,11170530,남영동,126.974107193231,37.5518126828311
MA010120220809232774,쿠쿠스,음식,기타 간이,김밥/만두/분식,11170,용산구,11170625,한강로동,126.963074734335,37.5260141145206
MA010120220800264650,에쓰에쓰부동산공인중개사,부동산,부동산 서비스,부동산 중개/대리업,11170,용산구,11170650,이태원1동,126.990722383357,37.5344799265042
MA010120220801768699,한남더힐공인중개사사무소,부동산,부동산 서비스,부동산 중개/대리업,11170,용산구,11170685,한남동,127.009073895056,37.5339303317889
MA010120220810573766,엔딩크레딧,과학·기술,전문 디자인,패션/섬유/기타 전문 디자인업,11170,용산구,11170650,이태원1동,126.99524802598,37.5348586156706
MA010120220813460029,펠리데이,음식,비알코올 ,카페,11170,용산구,11170625,한강로동,126.966570018037,37.5269071476161
MA010120220800320853,정성과감동,음식,한식,백반/한정식,11170,용산구,11170510,후암동,126.978692073862,37.5462544378022
MA010120220800227786,가나디자인,과학·기술,광고,광고물 설계/제작업,11170,용산구,11170590,용문동,126.960648200933,37.5366271260262
MA010120220805432791,금메달토스트,음식,기타 간이,토스트/샌드위치/샐러드,11170,용산구,11170530,남영동,126.971729524861,37.5548394905799
MA010120220800319637,엠디씨피인터내셔널,과학·기술,광고,광고 대행업,11170,용산구,11170510,후암동,126.978895796436,37.5461283345218
MA010120220805449287,길로이,과학·기술,본사·경영 컨설팅,경영 컨설팅업,11170,용산구,11170660,이태원2동,126.993267528123,37.5405168016351
MA010120220800267317,HMTT미용실,수리·개인,이용·미용,미용실,11170,용산구,11170555,청파동,126.966199759373,37.5451703238568
MA010120220812278925,가온씨앤씨,소매,가전·통신 소매,컴퓨터/소프트웨어 소매업,11170,용산구,11170625,한강로동,126.965435493884,37.5338895821486
MA010120220804956447,미르모터스용산점,소매,모터사이클 소매,모터사이클 및 부품 소매업,11170,용산구,11170560,원효로1동,126.967639359791,37.5393953195765
MA010120220800114237,언노운플라넷,소매,섬유·의복·신발 소매,여성 의류 소매업,11170,용산구,11170685,한남동,126.99975109492,37.5324980884592
MA010120220800271916,에코들리건강식품,소매,식료품 소매,건강보조식품 소매업,11170,용산구,11170625,한강로동,126.971975832132,37.5317469327114
MA010120220800287355,세일바이크,수리·개인,기타 가정용품 수리,그 외 기타 개인/가정용품 수리업,11170,용산구,11170700,보광동,126.997386601664,37.5294887151768
MA010120220800270790,컴샷정보,소매,가전·통신 소매,컴퓨터/소프트웨어 소매업,11170,용산구,11170560,원효로1동,126.963228209605,37.5360062672116
MA010120220800263531,금창정보통신,소매,기타 생활용품 소매,전기용품/조명장치 소매업,11170,용산구,11170560,원효로1동,126.96252763231,37.5341770155495
MA010120220800278831,현대조달개발원,과학·기술,본사·경영 컨설팅,경영 컨설팅업,11170,용산구,11170560,원효로1동,126.968374425403,37.5403505787133
MA010120220803633817,자연안에,소매,기타 상품 소매,그 외 기타 상품 전문 소매업,11170,용산구,11170590,용문동,126.960048638801,37.5364287046075
MA010120220811906208,바른손홈쿡,음식,한식,백반/한정식,11170,용산구,11170685,한남동,127.004435476733,37.5399402702689
MA010120220811925492,스터디룸채움숙대입구,예술·스포츠,도서관·사적지,독서실/스터디 카페,11170,용산구,11170555,청파동,126.970545554343,37.5438109788992
MA010120220800025690,용산구재활용센터,소매,중고 상품 소매,중고 상품 소매업,11170,용산구,11170625,한강로동,126.971430524237,37.5376393472266
MA010120220814341936,새봄약국,소매,의약·화장품 소매,약국,11170,용산구,11170580,효창동,126.961223700214,37.5396006171987
MA010120220812782828,소르고학원,교육,기타 교육,미술학원,11170,용산구,11170650,이태원1동,126.991378951416,37.5314706326513
MA010120220808501358,에이비씨인터내셔널,시설관리·임대,여행사·보조,여행사,11170,용산구,11170555,청파동,126.967033885346,37.5525317183611
MA010120220803147447,아토트리니티,음식,한식,백반/한정식,11170,용산구,11170685,한남동,127.001934814687,37.5380482373772
MA010120220809327114,에이플랜,과학·기술,전문 디자인,인테리어 디자인업,11170,용산구,11170660,이태원2동,126.987994877732,37.539417163309
MA010120220809657353,아델,소매,중고 상품 소매,중고 상품 소매업,11170,용산구,11170650,이태원1동,126.994874834169,37.5322637172062
MA010120220800283317,삼일기사식당,음식,한식,백반/한정식,11170,용산구,11170555,청파동,126.970148715254,37.5458020875707
MA010120220800180402,탐,소매,섬유·의복·신발 소매,기타 의류 소매업,11170,용산구,11170685,한남동,127.008813804739,37.535065612554
MA010120220800277155,삼성사,소매,가전·통신 소매,가전제품 소매업,11170,용산구,11170625,한강로동,126.959564082485,37.5327884965563
MA010120220801698852,크라운오토케어,수리·개인,자동차 수리·세차,자동차 세차장,11170,용산구,11170685,한남동,127.006403577213,37.5316599839782
MA010120220812195602,티씨비앤컴퍼니,과학·기술,전문 디자인,인테리어 디자인업,11170,용산구,11170685,한남동,127.002149670725,37.5337504606302
